         282545 function calls (274804 primitive calls) in 229.848 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:200(c_longdouble)
        1    0.000    0.000    0.000    0.000 __init__.py:2014(PositiveIntegerRelDbTypeMixin)
        3    0.000    0.000    0.000    0.000 __init__.py:2015(__init_subclass__)
        6    0.000    0.000    0.000    0.000 __init__.py:2019(<genexpr>)
       12    0.000    0.000    0.003    0.000 __init__.py:203(ngettext_lazy)
       15    0.000    0.000    0.000    0.000 __init__.py:2034(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:2042(PositiveBigIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2055(PositiveIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2068(PositiveSmallIntegerField)
        1    0.000    0.000    0.000    0.000 __init__.py:2081(SlugField)
        1    0.000    0.000    0.000    0.000 __init__.py:210(c_longlong)
        1    0.000    0.000    0.000    0.000 __init__.py:2114(TextField)
       16    0.000    0.000    0.000    0.000 __init__.py:2117(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:212(is_overridden)
        1    0.000    0.000    0.000    0.000 __init__.py:2126(shutdown)
        1    0.000    0.000    0.000    0.000 __init__.py:213(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:214(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2162(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:2178(TimeField)
       35    0.000    0.000    0.000    0.000 __init__.py:218(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2188(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:221(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:222(UserSettingsHolder)
       35    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:228(c_byte)
        1    0.000    0.000    0.034    0.034 __init__.py:228(fetch_command)
        1    0.000    0.000    0.003    0.003 __init__.py:23(<module>)
        1    0.000    0.000    0.015    0.015 __init__.py:23(autodiscover)
        9    0.000    0.000    0.006    0.001 __init__.py:23(find_commands)
        1    0.000    0.000    0.000    0.000 __init__.py:2310(URLField)
        1    0.000    0.000    0.000    0.000 __init__.py:232(override)
        1    0.000    0.000    0.000    0.000 __init__.py:233(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:2333(BinaryField)
        4    0.000    0.000    0.000    0.000 __init__.py:238(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:238(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2397(UUIDField)
       62    0.000    0.000    0.000    0.000 __init__.py:24(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:244(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:2450(AutoFieldMixin)
       13    0.000    0.000    0.000    0.000 __init__.py:2453(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:249(c_bool)
       13    0.000    0.000    0.000    0.000 __init__.py:2490(contribute_to_class)
        1    0.000    0.000    0.000    0.000 __init__.py:2498(formfield)
        1    0.000    0.000    0.000    0.000 __init__.py:2502(AutoFieldMeta)
       13    0.000    0.000    0.000    0.000 __init__.py:2519(_subclasses)
       13    0.000    0.000    0.000    0.000 __init__.py:2526(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 __init__.py:2530(AutoField)
